duration (seconds),emg amplitude
23.951764,4
23.95286,4
23.953964,4
23.955068,4
23.956172,1
23.95728,4
23.95838,4
23.959484,4
23.9606,1
23.961716,1
23.962812,1
23.963912,0
23.96502,4
23.966124,1
23.96722,1
23.968336,1
23.969436,1
23.97054,1
23.971644,1
23.972748,4
23.973852,4
23.974964,4
23.976068,4
23.977172,4
23.97828,4
23.979384,4
23.980488,4
23.981588,1
23.982692,1
23.983796,1
23.9849,4
23.986004,1
23.987116,1
23.98822,1
23.989332,1
23.99044,1
23.99154,4
23.992644,4
23.993748,4
23.994848,4
23.99596,1
23.99706,4
23.99816,4
23.999268,4
24.000372,1
24.001476,1
24.002584,4
24.003692,4
24.004804,4
24.005908,4
24.007008,1
24.008112,1
24.009216,1
24.010312,4
24.01142,4
24.012524,4
24.013636,4
24.01474,4
24.015844,1
24.016956,1
24.018056,4
24.019164,4
24.020268,4
24.021368,4
24.02248,4
24.023584,1
24.024684,1
24.025792,1
24.026892,1
24.027996,1
24.0291,1
24.030208,1
24.03132,0
24.032428,1
24.033532,1
24.034632,4
24.035736,4
24.036836,4
24.03794,4
24.039044,4
24.040156,4
24.04126,1
24.042368,1
24.043468,1
24.04458,1
24.045684,1
24.046788,1
24.047884,0
24.049,1
24.050108,4
24.051204,4
24.052308,4
24.053412,4
24.054516,1
24.05562,1
24.056724,4
24.057836,4
24.058948,4
24.060052,4
24.061156,4
24.062256,4
24.063364,1
24.064464,1
24.065564,1
24.06668,1
24.067776,1
24.068884,4
24.069988,4
24.071092,4
24.072204,4
24.073308,4
24.074412,1
24.075524,4
24.076628,4
24.077732,4
24.078828,4
24.07994,4
24.081036,1
24.08214,1
24.083244,1
24.084356,1
24.085464,1
24.086572,1
24.087676,1
24.08878,1
24.089884,1
24.09098,0
24.092092,1
24.093196,1
24.0943,1
24.095404,4
24.096508,4
24.097612,4
24.098716,4
24.09982,4
24.100932,1
24.10204,4
24.103144,4
24.104248,4
24.105356,1
24.106456,1
24.107556,1
24.10866,1
24.109764,1
24.110876,4
24.11198,4
24.113084,4
24.114192,4
24.1153,4
24.1164,4
24.117508,1
24.118612,1
24.11972,1
24.12082,1
24.121944,1
24.123028,4
24.124132,4
24.125236,4
24.126344,4
24.127444,4
24.128564,4
24.129668,4
24.130772,4
24.131876,1
24.132976,4
24.134084,1
24.13518,1
24.136284,1
24.137396,1
24.138504,1
24.139604,1
24.140708,1
24.141812,1
24.142924,1
24.144028,1
24.145132,1
24.146252,1
24.147348,1
24.148444,1
24.149548,0
24.150652,1
24.15176,1
24.15286,4
24.153964,4
24.155076,4
24.156196,4
24.157292,4
24.158392,4
24.1595,4
24.1606,4
24.161708,1
24.162808,1
24.16392,1
24.165016,0
24.16612,0
24.167228,0
24.168328,0
24.169436,1
24.170544,16
24.17174,25
24.172928,16
24.174116,9
24.17522,4
24.176328,1
24.177428,1
24.178532,1
24.179636,0
24.180744,0
24.181848,4
24.182956,16
24.184144,25
24.185332,4
24.186444,9
24.187536,121
24.18882,196
24.1901,100
24.191372,25
24.192556,1
24.193656,0
24.194764,0
24.195876,0
24.19698,1
24.19808,9
24.199192,25
24.200384,36
24.201568,25
24.202752,0
24.20386,121
24.20514,289
24.206416,169
24.207688,36
24.208872,0
24.209988,1
24.21108,0
24.212192,0
24.2133,4
24.2144,9
